workload,n,noise,seed,mode,cycles_to_thresh,final_fidelity
W6_6q,6,Z_kick_mid,8529334334060420507,OFF,2,0.8887618065992715
W6_6q,6,Z_kick_mid,8529334334060420507,SINGLE_BLOCK,4,0.896761322028146
W6_6q,6,Z_kick_mid,8529334334060420507,PAIR_BLOCK,13,0.8968777804860855
W6_6q,6,Z_kick_mid,7233986183356371461,OFF,4,0.8835637330431874
W6_6q,6,Z_kick_mid,7233986183356371461,SINGLE_BLOCK,14,0.7392262210380562
W6_6q,6,Z_kick_mid,7233986183356371461,PAIR_BLOCK,14,0.5929181373742785
W6_6q,6,ZZcorr_kick_mid,18338532153637842096,OFF,8,0.8504500542751549
W6_6q,6,ZZcorr_kick_mid,18338532153637842096,SINGLE_BLOCK,8,0.8335888324130266
W6_6q,6,ZZcorr_kick_mid,18338532153637842096,PAIR_BLOCK,13,0.8816745869866965
W6_6q,6,ZZcorr_kick_mid,14307055606650074465,OFF,5,0.8290008573823751
W6_6q,6,ZZcorr_kick_mid,14307055606650074465,SINGLE_BLOCK,5,0.8259070305848097
W6_6q,6,ZZcorr_kick_mid,14307055606650074465,PAIR_BLOCK,5,0.8910566045065184
W6_6q,6,ZZcorr_kick_mid,3218395412522283285,OFF,11,0.8935097919852351
W6_6q,6,ZZcorr_kick_mid,3218395412522283285,SINGLE_BLOCK,11,0.8928411482998294
W6_6q,6,ZZcorr_kick_mid,3218395412522283285,PAIR_BLOCK,12,0.8785153764812988
W6_6q,6,ZZcorr_kick_mid,1448930418990886551,OFF,12,0.8977079143306871
W6_6q,6,ZZcorr_kick_mid,1448930418990886551,SINGLE_BLOCK,12,0.8913168411612893
W6_6q,6,ZZcorr_kick_mid,1448930418990886551,PAIR_BLOCK,13,0.8901714667791183
W6_6q,6,ZZcorr_kick_mid,15448103662580708186,OFF,4,0.8989261257806666
W6_6q,6,ZZcorr_kick_mid,15448103662580708186,SINGLE_BLOCK,4,0.8958011395523633
W6_6q,6,ZZcorr_kick_mid,15448103662580708186,PAIR_BLOCK,7,0.8743099990619779
W6_6q,6,ZZcorr_kick_mid,13148435791746823200,OFF,4,0.8825449403767263
W6_6q,6,ZZcorr_kick_mid,13148435791746823200,SINGLE_BLOCK,4,0.8750249612965154
W6_6q,6,ZZcorr_kick_mid,13148435791746823200,PAIR_BLOCK,14,0.8543863941201145
W6_6q,6,ZZcorr_kick_mid,8534040870851822795,OFF,6,0.8929368170082971
W6_6q,6,ZZcorr_kick_mid,8534040870851822795,SINGLE_BLOCK,6,0.890534228131811
W6_6q,6,ZZcorr_kick_mid,8534040870851822795,PAIR_BLOCK,7,0.8976037717867051
W6_6q,6,ZZcorr_kick_mid,1437064953133405515,OFF,6,0.8743601449167332
W6_6q,6,ZZcorr_kick_mid,1437064953133405515,SINGLE_BLOCK,6,0.8675153488066506
W6_6q,6,ZZcorr_kick_mid,1437064953133405515,PAIR_BLOCK,7,0.8718115379311276
W6_6q,6,ZZcorr_kick_mid,13592298731428038959,OFF,8,0.8252642860303813
W6_6q,6,ZZcorr_kick_mid,13592298731428038959,SINGLE_BLOCK,8,0.8161203556550953
W6_6q,6,ZZcorr_kick_mid,13592298731428038959,PAIR_BLOCK,10,0.3126262882466356
W6_6q,6,ZZcorr_kick_mid,3116492817124689065,OFF,7,0.8887503790390223
W6_6q,6,ZZcorr_kick_mid,3116492817124689065,SINGLE_BLOCK,6,0.8998861807978175
W6_6q,6,ZZcorr_kick_mid,3116492817124689065,PAIR_BLOCK,12,0.05403055588980856
W6_6q,6,ZZcorr_kick_mid,5844401091891905989,OFF,8,0.8839584330465203
W6_6q,6,ZZcorr_kick_mid,5844401091891905989,SINGLE_BLOCK,8,0.8796949675529524
W6_6q,6,ZZcorr_kick_mid,5844401091891905989,PAIR_BLOCK,12,0.5761842144642675
W6_6q,6,ZZcorr_kick_mid,592582213049345415,OFF,5,0.872715839370149
W6_6q,6,ZZcorr_kick_mid,592582213049345415,SINGLE_BLOCK,5,0.8674127228642101
W6_6q,6,ZZcorr_kick_mid,592582213049345415,PAIR_BLOCK,12,0.7561405843578874
W6_6q,6,ZZcorr_kick_mid,10616724023230151144,OFF,5,0.8819443790090475
W6_6q,6,ZZcorr_kick_mid,10616724023230151144,SINGLE_BLOCK,5,0.8789299376506869
W6_6q,6,ZZcorr_kick_mid,10616724023230151144,PAIR_BLOCK,7,0.8724104331472365
W6_6q,6,ZZcorr_kick_mid,737364507675789261,OFF,8,0.8707183470756718
W6_6q,6,ZZcorr_kick_mid,737364507675789261,SINGLE_BLOCK,8,0.8699310601461511
W6_6q,6,ZZcorr_kick_mid,737364507675789261,PAIR_BLOCK,9,0.8966689605874086
W6_6q,6,ZZcorr_kick_mid,16200012748260796165,OFF,5,0.8846687695778154
W6_6q,6,ZZcorr_kick_mid,16200012748260796165,SINGLE_BLOCK,5,0.8841026614117411
W6_6q,6,ZZcorr_kick_mid,16200012748260796165,PAIR_BLOCK,12,0.8394645830105131
W6_6q,6,ZZcorr_kick_mid,11571818130098682875,OFF,3,0.8688639902090546
W6_6q,6,ZZcorr_kick_mid,11571818130098682875,SINGLE_BLOCK,3,0.8682909164750096
W6_6q,6,ZZcorr_kick_mid,11571818130098682875,PAIR_BLOCK,3,0.8720585755230617
W6_6q,6,ZZcorr_kick_mid,11059624656116204398,OFF,6,0.8648202366212323
W6_6q,6,ZZcorr_kick_mid,11059624656116204398,SINGLE_BLOCK,6,0.8622603803692813
W6_6q,6,ZZcorr_kick_mid,11059624656116204398,PAIR_BLOCK,10,0.7936248479674656
W6_6q,6,ZZcorr_kick_mid,15133268358830502377,OFF,5,0.8609952875672412
W6_6q,6,ZZcorr_kick_mid,15133268358830502377,SINGLE_BLOCK,5,0.8577238991585033
W6_6q,6,ZZcorr_kick_mid,15133268358830502377,PAIR_BLOCK,10,0.6684065320397614
W6_6q,6,ZZcorr_kick_mid,10808963687340039621,OFF,6,0.8449743611610359
W6_6q,6,ZZcorr_kick_mid,10808963687340039621,SINGLE_BLOCK,6,0.843043882487404
W6_6q,6,ZZcorr_kick_mid,10808963687340039621,PAIR_BLOCK,10,0.8176803083983161
W6_6q,6,ZZcorr_kick_mid,3267567069028850734,OFF,11,0.8963335511818497
W6_6q,6,ZZcorr_kick_mid,3267567069028850734,SINGLE_BLOCK,11,0.8851205192923678
W6_6q,6,ZZcorr_kick_mid,3267567069028850734,PAIR_BLOCK,14,0.42136750625863967
W6_6q,6,ZZcorr_kick_mid,18081796039093513279,OFF,8,0.8766489343790228
W6_6q,6,ZZcorr_kick_mid,18081796039093513279,SINGLE_BLOCK,8,0.8759470248470169
W6_6q,6,ZZcorr_kick_mid,18081796039093513279,PAIR_BLOCK,14,0.37896089001334254
